uid,name,visits,playing,likes,genre,genreL1,created,updated,description,creator,playerCount,totalUpVotes,totalDownVotes
1686885941,Brookhaven 🏡RP,85105377174,670742,28800261,Town and City,Roleplay & Avatar Sim,2020-04-21T02:15:38.373Z,2026-07-17T20:52:35.1774849Z,"A place to play with like minded people and roleplay. Own and live in amazing houses, drive cool vehicles and explore the city. Be whoever you want to be in Brookhaven RP.

Latest Update:
🎪 Summer Car",Brookhaven by Voldex,669091,8311319,1365714
7709344486,Steal a Brainrot,71499694126,202875,28723480,All,Simulation,2025-05-16T00:49:12.563Z,2026-07-17T05:23:42.615379Z,"🗣️ Welcome to Steal a Brainrot!

👍 Like the game and join the group

How to Play:
👽 Buy a Brainrot
🥷 Steal Brainrots from other players
💸 Generate money
🐦‍🔥 Rebirth
✋ Buy slaps and troll gear to troll",BRAZILIAN SPYDER,202386,15252624,2602046
994732206,Blox Fruits,62791555851,222667,19366050,Adventure,RPG,2019-01-16T03:29:19.433Z,2026-07-15T09:30:42.179Z,Welcome to Blox Fruits! Become a master swordsman or a powerful blox fruit user as you train to become the strongest player to ever live. You can choose to fight against tough enemies or have powerful,Gamer Robot Inc,220918,12323305,1047070
383310974,[1.2X!🎉] Adopt Me!,44150581172,339744,29344626,RPG,Roleplay & Avatar Sim,2017-07-14T19:26:21.347Z,2026-07-17T18:14:24.0428956Z,"Adopt and raise 🐶🦄👶, trade and collect legendary pets, build your dream home, and roleplay with friends!

🌱 Bonus Acorns Weekend! 🌱
💸 1.2x Acorn rewards until Monday!
🎣 Last chance to go fishing, for ",Uplift Games,350880,9274693,1505851
7436755782,[🌊] Grow a Garden 🌶️,35741296267,34906,11315883,All,Simulation,2025-03-25T22:32:09.437Z,2026-07-17T18:56:17.7998114Z,"🍅Welcome to Grow a Garden🍅

Are you ready to grow your very own garden? Buy seeds from the shop when they restock, plant them, wait for them to grow, and collect the profits! Flex fruits and finds on ",The Garden Game,36911,9386131,1050018
7326934954,[🦖] 99 Nights in the Forest 🔦,28273327370,240280,8686060,All,Survival,2025-03-04T04:46:49.73Z,2026-07-15T23:27:51.154Z,"Build a camp with friends. 

Something is watching you.

99 Nights in the Forest",Grandma's Favourite Games,239587,5147057,543391
703124385,Tower of Hell,28103563958,18847,11777065,Adventure,Obby & Platformer,2018-06-18T21:17:06.1Z,2026-06-29T12:45:26.528Z,"Can you be the first to the top in this randomly generated obby with absolutely no checkpoints at all?



Owners of VIP-Servers can use the settings menu to skip rounds, set the tower size and loc",YXceptional Studios,19572,4261437,1531592
66654135,Murder Mystery 2,27382027442,289247,22886058,Horror,Survival,2014-01-18T10:07:51.557Z,2026-07-03T17:11:54.934Z,"Can you solve the Mystery and survive each round?

INNOCENTS: Run and hide from the Murderer. Use your detective skills to expose the Murderer.
SHERIFF: Work with the Innocents; you are the only on",Nikilis,290351,9992591,1008146
3808081382,The Strongest Battlegrounds,18697228248,65070,7402960,Fighting,Action,2022-08-02T09:26:24.09Z,2026-07-16T22:06:26.6865221Z,"Train & fight others to be the strongest.

📱💻🎮 You can play on any device. (CONSOLE, PC, MOBILE)
⭐ Please consider liking and favoriting the game for more updates.

🖥️ Controls
G - ultimate mode
F - b",Yielding Arts,63719,5193398,993138
6035872082,RIVALS,16634663986,223443,84156360,FPS,Shooter,2024-05-26T16:47:48.617Z,2026-07-14T05:12:03.891Z,"Welcome to RIVALS, the most intense first person shooter game on Roblox! Challenge other players in 1v1 to 5v5 FPS duels where the first to 5 wins!

🏖️ UPDATE 21 - The first ever RIVALS Summer Event i",Nosniy Games,218741,10048244,647555
1516533665,Piggy,14267777177,11788,12167099,Horror,Survival,2020-01-23T02:11:32.343Z,2026-06-13T15:31:04.626Z,"Do you have what it takes to escape Piggy and uncover the mysteries surrounding the beast?

Controls:
Pick up items / Use items - Click (Computer), Tap (Mobile) or Right Trigger (Controller)
Crouch / ",Piggy Dev Team,11762,4017204,432562
2619619496,BedWars [🎃 JACK + BALANCE],11455459900,42763,4526594,Fighting,Action,2021-05-27T15:14:38.887Z,2026-07-17T22:40:49.4722627Z,"🔥🔥 Updates are every FRIDAY at 3:00pm PDT, 6:00pm EDT 🔥🔥

🎮 Dive into over 10+ thrilling modes like Bed Wars, Lucky Block, SkyWars, Infected, and more!
✨ Explore and craft your own games in Creative m",Easy.gg,42659,2430108,525366
5203828273,[🌴] Dress To Impress,10540013954,96035,6956293,All,Roleplay & Avatar Sim,2023-10-18T09:11:36.563Z,2026-07-17T22:24:22.0755959Z,"Create stunning outfits 👗💖⭐, and strut the runway to show off your unique style. Collaborate, compete, and explore a world of glamour with friends!

⭐ Are you ready to be the TOP MODEL?
👗 NEW ITEMS! C",Dress To Impress Group,96515,3849425,402896
321778215,Royale🌺High,10420615562,11659,13297540,All,Roleplay & Avatar Sim,2017-04-10T13:16:49.493Z,2026-07-17T11:25:36.4939285Z,"♡ ☁️ Welcome to your magical dream world! ☁️ ♡

📣July 16th Update!📣
🌺 NEW items have shorelined in Queen Harmony's Treasure Shop! 🧜‍♀️
🪮 3 NEW Hairstyles - our first EVER to be animated with PHYSICS! ",callmehbob,11870,3250575,533474
88070565,[🌴] Welcome to Bloxburg ,10015572915,26897,13924467,Town and City,Roleplay & Avatar Sim,2014-11-04T03:31:28.28Z,2026-07-16T11:58:38.8806119Z,"👋 Welcome to the town of Bloxburg, where you can be anything you want to be!

🏡 Build and decorate, or buy the house or creation of your dreams!
👕 Customize your character with outfits and roles!
🎭 Ro",Bloxburg Development,26835,5601914,733352
3240075297,Berry Avenue 🏠 RP,8400375440,71773,3422152,Town and City,Roleplay & Avatar Sim,2022-01-07T23:54:58.843Z,2026-07-15T12:35:52.573Z,"⭐ Welcome to Berry Avenue! A place to roleplay, hang out and explore!
🍓 Choose from a wide selection of stylish houses, cool cars & roleplay items to enhance your experience!

🏫 Become a student at th",Amberry Games,72484,1099360,179905
